"Q", "A", "link"
"Jsou u zkoušky nějaké formální požadavky ve stylu oblečení, či se nikdo o to nezajímá, prosím?", "U zkoušky z běžných předmětů se předpokládá, že budeš oblečen pohodlně (ale čistě!), prostě tak, aby tě neobvyklé oblečení u zkoušky nerozhodilo. Rozhodně ti nikdo nevynadá, pokud dorazíš v tričku a džínech. Jedinou výjimkou jsou státnice, kde je opravdu potřeba být oblečen slušně (oblek, košile, kravata,…).", "obleceni"
"Ahoj, co je to ten výcvikový kurz (zimní nebo letní)? A jaký je rozdíl mezi výcvikovým kurzem a tělesnou výchovou?", "Nemusíš se bát, že to bude stejné, jako lyžák na střední. Jedná se veskrze o dobrovolnou aktivitu – lyže, kolo, loď, windsurfing, pěší turistika nebo třeba i netradiční sporty. Všechny informace najdeš na <a href='http://ktv.mff.cuni.cz/kurzy/'>webu</a>. Za libovolný kurz můžeš získat kredit, ten je možné zaměnit za jeden ze 4 povinných kreditů za tělocvik. Navíc nevadí, že sis na začátku semestr kurz nezapsal, KTV tě umí zapsat i dodatečně, takže o kredit nepřijdeš.", "kurzy-ktv"
"Co když se mi žádný sport nelíbí a radši bych chtěl chodit třeba na Curling na přírodovědu? Uznají mi to?", "Není v tom žádný problém. Stačí si najít ten daný tělocvik v SISu a zapsat se na něj. Dostaneš za to volitelný kredit. Pokud bys byl radši za svůj kredit povinný, zapiš si tělocvik vybraný i ten povinný a domluv se s tajemníkem KTV, aby ti zápočet dali za ten povinný předmět. Asi budou vyžadovat papír o tom, že jsi tělocvik splnil na jiné katedře a že ti tam za něj kredit nedají.", "telocvik-jinde"
"Co dělat, když jsem nestihl několik prvních cvičení?", "Co nejdříve si zjisti, jaké jsou podmínky zápočtu a co už se stihlo udělat. Je taky vhodné napsat vyučujícímu (třeba e-mailem), co je důvodem absence (například přestup z jiného cvičení, výlet do Himalájí, smrtelná nemoc na 7,…).", "absence"
"Dá se u budovy {v Karlíně, na Karlově, v Troji, na Malé Straně, v Hostivaři} nějak rozumně zaparkovat?", "Bohužel v podstatě nedá (Troja má parkoviště před budovou, ostatní bohužel pouze zóny placeného stání). Pokud potřebuješ mít auto jednoduše dosažitelné, je možné využít třeba parkoviště P+R. Jejich seznam a aktuální obsazenost najdeš na <a href='https://www.tsk-praha.cz/wps/portal/root/aktualni-doprava/parkoviste/'>webu TSK</a>. Pokud opravdu potřebuješ zaparkovat, detaily o budovách a parkování najdeš na <a href='https://www.mff.cuni.cz/fakulta/budovy/'>webu fakulty</a> a taky na <a href='http://mapy.cz'>mapě</a> - tam jsou vyznačené parkovací zóny i s cenou.", "auto"
"Dá se v budově {v Karlíně, na Karlově, v Troji, na Malé Straně, v Hostivaři} nějak rozumně zaparkovat kolo? Případně převléknout nebo i osprchovat?", "Ano, budovy jsou na cyklisty připraveny. Informace o parkování kol v konkrétní budově najdeš na <a href='https://www.mff.cuni.cz/fakulta/budovy/'>webu fakulty</a>. Převléknutí i osprchování by mělo být možné ve všech budovách - nejlepší informace ti podá spřízněný zaměstnanec dané budovy či vrátnice.", "kolo"
"Kolej je drahá a stejně sedím celou dobu u počítače. Můžu bydlet v labu?", "Nemůžeš. Jediný lab s nostop provozem se aktuálně nachází na kolejích a neubytovaní uživatelé jsou z něj pravidelně po půlnoci vyháněni.", "spani"
"Prý se dá zapnout oznámení o termínech zkoušek. Jak to udělám?", "V SISu najedeš na osobní údaje, záložka možnosti uživatele a zaškrtni „zasílat upozornění o vypsání nového termínu“.", "terminy-mailem"
"Můžu na MFF sportovat i mimo tělocvik?", "Spoustu sportů najdeš sjednocených ve sportovním klubu, nabídku najdeš na <a href='http://vssk.mff.cuni.cz/'>webu</a>", "vssk"
"Mám teplotu a není mi dobře, od 11 mám zkoušku. Má smysl psát vyučujícímu?", "Určitě to zkus, za pokus nic nedáš. Většina vyučujících vychází vstříc a z termínu tě může omluvit, takže ti nepropadne.", "nemoc"
